estado;titulo;sku_legacy;handle;ps_product_ids;ids_vivos;que_hace_falta;tamano;admin
NO_IMPORTABLE;Black Glass Pinnacle Award;PS8214;p-7879-black-glass-pinnacle-award;G0999A G0999B G0999C;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8214
NO_IMPORTABLE;Blown Art Glass Egg with Black Lasered Plate;PS8226;p-7884-blown-art-glass-egg-with-black-lasered-plate;GM683;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8226
NO_IMPORTABLE;Blown Glass Bud Vase;PS8227;p-7885-blown-glass-bud-vase;GNS123;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8227
NO_IMPORTABLE;Blue Arched Brilliance Award;PS6156;p-5474-blue-arched-brilliance-award;CD635B;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6156
NO_IMPORTABLE;Blue Barrel Plaque w/ Marble Mist Large;PS6159;p-5477-blue-barrel-plaque-w-marble-mist-large;C031AB;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6159
NO_IMPORTABLE;Blue Barrel Plaque w/ Marble Mist Small;PS6158;p-5476-blue-barrel-plaque-w-marble-mist-small;C031BB;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6158
NO_IMPORTABLE;Blue Ceramic Mug;PS8243;p-7890-blue-ceramic-mug;CM704-632 CM707-287 CM708-04 CM706-04;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8243
NO_IMPORTABLE;Blue Crescent Glass Award on Black Oval Glass Base;PS6165;p-5483-blue-crescent-glass-award-on-black-oval-glass-base;GI654A GI654B;;GI654: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS6165
NO_IMPORTABLE;Blue Crystal Triangular Votive Holder;PS9631;p-8668-blue-crystal-triangular-votive-holder;G1001BL;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS9631
NO_IMPORTABLE;Blue Curved Wedge Crystal Award;PS8253;p-7891-blue-curved-wedge-crystal-award;GM834;;sin precio o sin ficha;;https://admin.shopify.com/store/trophy-partner/products?query=PS8253
