supplier_id;kind;paceSetter_line;name;part_of;claimed_by
CM455GR;PART;CM455;;CM455;p-8800-leatherette-money-clip-large
CM455LB;PART;CM455;;CM455;p-8800-leatherette-money-clip-large
CM455RW;PART;CM455;;CM455;p-8800-leatherette-money-clip-large
CM460;PRODUCT;CM460;Bamboo Wine Presentation Box with Tools;;p-5404-bamboo-wine-presentation-box-with-tools
CM461;PRODUCT;CM461;Matte Black Wine Presentation Box with Tools;;p-6079-matte-black-wine-presentation-box-with-tools
CM462;PRODUCT;CM462;Rosewood Wine Presentation Box with Tools;;p-6228-rosewood-wine-presentation-box-with-tools
CM464;PRODUCT;CM464;Alder Wood Oval Name Bar;;p-5365-alder-wood-oval-name-bar
CM465;PRODUCT;CM465;Alder Wood Rectangle Name Bar;;p-5366-alder-wood-rectangle-name-bar
CM466;PRODUCT;CM466;Round Bamboo Coaster Set;;p-6230-round-bamboo-coaster-set
CM470;PRODUCT;CM470;Piano Finish Walnut Name Bar;;p-6160-piano-finish-walnut-name-bar
CM471;PRODUCT;CM471;Piano Finish Ebony Name Bar;;p-6159-piano-finish-ebony-name-bar
CM700-05;ORPHAN;CM700-05;;;p-5321-11-oz-black-mug
CM700-08;ORPHAN;CM700-08;;;p-5324-11-oz-grey-mug
CM700-14;ORPHAN;CM700-14;;;p-5322-11-oz-blue-mug
CM700-67;ORPHAN;CM700-67;;;p-5323-11-oz-green-mug
CM701-02;ORPHAN;CM701-02;;;p-5325-11-oz-black-coffee-mug
CM701-05;ORPHAN;CM701-05;;;p-5325-11-oz-black-coffee-mug
CM701-89;ORPHAN;CM701-89;;;p-5325-11-oz-black-coffee-mug
CM702-06;ORPHAN;CM702-06;;;p-5328-14-oz-ceramic-mug
CM704-04;ORPHAN;CM704-04;;;p-7970-dark-blue-ceramic-mug
CM704-05;ORPHAN;CM704-05;;;p-7876-black-ceramic-mug-large
CM704-1041;ORPHAN;CM704-1041;;;p-8136-plum-ceramic-mug
CM704-11;ORPHAN;CM704-11;;;p-7971-dark-green-ceramic-mug
CM704-1840;ORPHAN;CM704-1840;;;p-8064-el-grande-green-ceramic-mug
CM704-2899;ORPHAN;CM704-2899;;;p-8146-purple-ceramic-mug-large
CM704-2904;ORPHAN;CM704-2904;;;p-8155-red-ceramic-mug
CM704-3192;ORPHAN;CM704-3192;;;p-7942-coral-ceramic-mug
CM704-43;ORPHAN;CM704-43;;;p-7907-burgundy-ceramic-mug
CM704-464;ORPHAN;CM704-464;;;p-8167-russet-ceramic-mug
CM704-5405;ORPHAN;CM704-5405;;;p-8076-lavender-ceramic-mug
CM704-632;ORPHAN;CM704-632;;;p-7890-blue-ceramic-mug
CM704-640;ORPHAN;CM704-640;;;p-8115-mustard-ceramic-mug
CM704-755;ORPHAN;CM704-755;;;p-8205-teal-ceramic-mug
CM705-04;ORPHAN;CM705-04;;;p-8145-purple-ceramic-mug-small
CM705-05;ORPHAN;CM705-05;;;p-7875-black-ceramic-mug-small
CM705-11;ORPHAN;CM705-11;;;p-8063-green-ceramic-mug-small
CM705-43;ORPHAN;CM705-43;;;p-7905-brown-ceramic-mug
CM706-04;ORPHAN;CM706-04;;;p-7890-blue-ceramic-mug
CM706-05;ORPHAN;CM706-05;;;p-7876-black-ceramic-mug-large
CM706-3192;ORPHAN;CM706-3192;;;p-7942-coral-ceramic-mug
CM706-664;ORPHAN;CM706-664;;;p-8155-red-ceramic-mug
CM706-755;ORPHAN;CM706-755;;;p-8205-teal-ceramic-mug
CM707-02;ORPHAN;CM707-02;;;p-8225-white-ceramic-mug
CM707-05;ORPHAN;CM707-05;;;p-7876-black-ceramic-mug-large
CM707-199;ORPHAN;CM707-199;;;p-8155-red-ceramic-mug
CM707-209;ORPHAN;CM707-209;;;p-7907-burgundy-ceramic-mug
CM707-287;ORPHAN;CM707-287;;;p-7890-blue-ceramic-mug
