estado;handle;titulo;ps_product_ids;que_hace_falta;admin
ESPERA_CODIGO;p-5832-nebraska-state-silhouette-awards;Nebraska State Silhouette Awards;CD900NE;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6514
ESPERA_CODIGO;p-5833-new-hampshire-state-silhouette-awards;New Hampshire State Silhouette Awards;CD900NH;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6515
ESPERA_CODIGO;p-5834-new-jersey-state-silhouette-awards;New Jersey State Silhouette Awards;CD900NJ;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6516
ESPERA_CODIGO;p-5835-new-mexico-state-silhouette-awards;New Mexico State Silhouette Awards;CD900NM;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6517
ESPERA_CODIGO;p-5836-nevada-state-silhouette-awards;Nevada State Silhouette  Awards;CD900NV;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6518
ESPERA_CODIGO;p-5837-new-york-state-silhouette-awards;New York State Silhouette Awards;CD900NY;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6519
ESPERA_CODIGO;p-5838-ohio-state-silhouette-awards;Ohio State Silhouette Awards;CD900OH;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6520
ESPERA_CODIGO;p-5839-oklahoma-state-silhouette-awards;Oklahoma State Silhouette Awards;CD900OK;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6521
ESPERA_CODIGO;p-5843-oregon-state-silhouette-awards;Oregon State Silhouette Awards;CD900OR;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6525
ESPERA_CODIGO;p-5844-frosted-lucite-oval-cutout-on-risers-award;Frosted Lucite Oval Cutout on Risers Award;CD900OVAL;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6526
ESPERA_CODIGO;p-5845-pennsylvania-state-silhouette-awards;Pennsylvania State Silhouette Awards;CD900PA;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6527
ESPERA_CODIGO;p-5846-rhode-island-state-silhouette-awards;Rhode Island State Silhouette Awards;CD900RI;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6528
ESPERA_CODIGO;p-5847-south-carolina-state-silhouette-awards;South Carolina State Silhouette Awards;CD900SC;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6529
ESPERA_CODIGO;p-5848-south-dakota-state-silhouette-awards;South Dakota State Silhouette Awards;CD900SD;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6530
ESPERA_CODIGO;p-5849-illinois-state-shaped-award-award;Illinois State Shaped Award Award;CD900IL;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6531
ESPERA_CODIGO;p-5850-tennessee-state-silhouette-awards;Tennessee State Silhouette Awards;CD900TN;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6532
ESPERA_CODIGO;p-5851-texas-state-silhouette-awards;Texas State Silhouette Awards;CD900TX;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6533
ESPERA_CODIGO;p-5852-utah-state-silhouette-awards;Utah State Silhouette Awards;CD900UT;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6534
ESPERA_CODIGO;p-5853-virginia-state-silhouette-awards;Virginia State Silhouette Awards;CD900VA;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6535
ESPERA_CODIGO;p-5854-vermont-state-silhouette-awards;Vermont State Silhouette Awards;CD900VT;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6536
ESPERA_CODIGO;p-5855-washington-state-silhouette-awards;Washington State Silhouette Awards;CD900WA;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6537
ESPERA_CODIGO;p-5856-wisconsin-state-silhouette-awards;Wisconsin State Silhouette Awards;CD900WI;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6538
ESPERA_CODIGO;p-5857-west-virginia-state-silhouette-awards;West Virginia State Silhouette Awards;CD900WV;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6539
ESPERA_CODIGO;p-5858-wyoming-state-silhouette-awards;Wyoming State Silhouette Awards;CD900WY;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6540
ESPERA_CODIGO;p-5890-lucite-riser-plaque-with-choice-of-plate;Lucite Riser Plaque with Choice Of Plate;C6801GO C6802GO;la unión alcanzaría ids de otro producto (C6801* C6802*);https://admin.shopify.com/store/trophy-partner/products?query=PS6572
ESPERA_CODIGO;p-5898-gold-spectrum-chisel-carved-tower-trophy-award;Gold Spectrum Chisel Carved Tower Trophy Award;C609LGO;la unión alcanzaría ids de otro producto (C609L*);https://admin.shopify.com/store/trophy-partner/products?query=PS6580
ESPERA_CODIGO;p-5900-gold-star-power-sculptured-lucite-small;Gold Star Power Sculptured Lucite Small;CA21CXG;la unión alcanzaría ids de otro producto (CA21CX*);https://admin.shopify.com/store/trophy-partner/products?query=PS6582
ESPERA_CODIGO;p-5901-gold-star-power-sculptured-lucite-award;Gold Star Power Sculptured Lucite Award;CA21AXG CA21BXG;la unión alcanzaría ids de otro producto (CA21AX* CA21BX*);https://admin.shopify.com/store/trophy-partner/products?query=PS6583
ESPERA_CODIGO;p-5911-green-diamond-carved-octagon-plaque;Green Diamond Carved Octagon Plaque;C1407LG;la unión alcanzaría ids de otro producto (C1407L*);https://admin.shopify.com/store/trophy-partner/products?query=PS6593
ESPERA_CODIGO;p-6168-polar-camel-ringneck-tumblers-personalized;Polar Camel Ringneck Tumblers Personalized;CM711 CM710;la unión alcanzaría ids de otro producto (CM711);https://admin.shopify.com/store/trophy-partner/products?query=PS6850
ESPERA_CODIGO;p-6200-red-diamond-carve-lucite-octagon-plaque;Red Diamond Carve Lucite Octagon Plaque;C1407LR;la unión alcanzaría ids de otro producto (C1407L*);https://admin.shopify.com/store/trophy-partner/products?query=PS6882
ESPERA_CODIGO;p-6241-silver-lucite-riser-plaque;Silver Lucite Riser Plaque;C6801S C6802S;la unión alcanzaría ids de otro producto (C6801* C6802*);https://admin.shopify.com/store/trophy-partner/products?query=PS6923
ESPERA_CODIGO;p-6267-slide-in-certificate-ebony-plaque-in-gift-box;Slide-in Certificate Ebony Plaque in Gift Box;CD120G;la unión alcanzaría ids de otro producto (CD120*);https://admin.shopify.com/store/trophy-partner/products?query=PS6949
ESPERA_CODIGO;p-6268-slide-in-certificate-rosewood-plaque-in-gift-box;Slide-in Certificate Rosewood Plaque in Gift Box;CD121G;la unión alcanzaría ids de otro producto (CD121*);https://admin.shopify.com/store/trophy-partner/products?query=PS6950
ESPERA_CODIGO;p-6269-slide-in-certificate-rosewood-plaque-in-mailer-box;Slide-in Certificate Rosewood Plaque in Mailer Box;CD121M;la unión alcanzaría ids de otro producto (CD121*);https://admin.shopify.com/store/trophy-partner/products?query=PS6951
ESPERA_CODIGO;p-6317-clear-and-black-crescent-curved-glass-award-trophy;Clear and Black Crescent Curved Glass Award Trophy;GI586BK;la unión alcanzaría ids de otro producto (GI586*);https://admin.shopify.com/store/trophy-partner/products?query=PS6999
ESPERA_CODIGO;p-6327-walnut-finish-plaque-w-choice-of-plate-board;Walnut Finish Plaque w/ Choice Of Plate & Board;DCC3001CWN DCC3001DWN DCC3001EWN;la unión alcanzaría ids de otro producto (DCC3001C* DCC3001D* DCC3001E*);https://admin.shopify.com/store/trophy-partner/products?query=PS7009
ESPERA_CODIGO;p-6356-polar-camel-stemless-wine-tumblers-personalized;Polar Camel Stemless Wine Tumblers Personalized;CM712 CM713;la unión alcanzaría ids de otro producto (CM712);https://admin.shopify.com/store/trophy-partner/products?query=PS8002
ESPERA_CODIGO;p-7115-frosted-lucite-star-cutout-on-risers-award;Frosted Lucite Star Cutout on Risers Award;CD900STAR;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS8003
ESPERA_CODIGO;p-7912-choice-of-digi-medium;Choice of Digi Medium;DCC3001CEB;la unión alcanzaría ids de otro producto (DCC3001C*);https://admin.shopify.com/store/trophy-partner/products?query=PS8349
ESPERA_CODIGO;p-7997-frosted-acrylic-ak-state-cutout-on-black-plaque;Frosted Acrylic AK State Cutout on Black Plaque;CD953AK;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8630
ESPERA_CODIGO;p-7998-frosted-acrylic-al-state-cutout-on-black-plaque;Frosted Acrylic AL State Cutout on Black Plaque;CD953AL;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8631
ESPERA_CODIGO;p-7999-frosted-acrylic-ar-state-cutout-on-black-plaque;Frosted Acrylic AR State Cutout on Black Plaque;CD953AR;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8632
ESPERA_CODIGO;p-8000-frosted-acrylic-az-state-cutout-on-black-plaque;Frosted Acrylic AZ State Cutout on Black Plaque;CD953AZ;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8633
ESPERA_CODIGO;p-8002-frosted-acrylic-co-state-cutout-on-black-plaque;Frosted Acrylic CO State Cutout on Black Plaque;CD953CO;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8635
ESPERA_CODIGO;p-8003-frosted-acrylic-ct-state-cutout-on-black-plaque;Frosted Acrylic CT State Cutout on Black Plaque;CD953CT;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8636
ESPERA_CODIGO;p-8006-frosted-acrylic-ga-state-cutout-on-black-plaque;Frosted Acrylic GA State Cutout on Black Plaque;CD953GA;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8640
ESPERA_CODIGO;p-8008-frosted-acrylic-ia-state-cutout-on-black-plaque;Frosted Acrylic IA State Cutout on Black Plaque;CD953IA;la unión alcanzaría ids de otro producto (CD953*);https://admin.shopify.com/store/trophy-partner/products?query=PS8642
